//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
↔             ↔             ↔             &#8596;         &#x2194;        &harr;          arrowboth       left right arrow, U+2194 ISOamsa
↵             ↵             ↵             &#8629;         &#x21B5;        &crarr;         carriagereturn  downwards arrow with corner leftwards = carriage return, U+21B5 NEW
⇐             ⇐             ⇐             &#8656;         &#x21D0;        &lArr;          arrowdblleft
                                                                                          arrowleftdbl    leftwards double arrow, U+21D0 ISOtech [ISO 10646 does not say that lArr is the same as the 'is implied by' arrow but also does not have any other character for that function. So ? lArr can be used for 'is implied by' as ISOtech suggests]
⇑             ⇑             ⇑             &#8657;         &#x21D1;        &uArr;          arrowdblup      upwards double arrow, U+21D1 ISOamsa
⇒             ⇒             ⇒             &#8658;         &#x21D2;        &rArr;          arrowdblright
                                                                                          dblarrowright   rightwards double arrow, U+21D2 ISOtech [ISO 10646 does not say this is the 'implies' character but does not have another character with this function so ? rArr can be used for 'implies' as ISOtech suggests]
⇓             ⇓             ⇓             &#8659;         &#x21D3;        &dArr;          arrowdbldown    downwards double arrow, U+21D3 ISOamsa
⇔             ⇔             ⇔             &#8660;         &#x21D4;        &hArr;          arrowdblboth
                                                                                          dblarrowleft    left right double arrow, U+21D4 ISOamsa <!-- Mathematical Operators
∀             ∀             ∀             &#8704;         &#x2200;        &forall;        forall
                                                                                          universal       for all, U+2200 ISOtech
∂             ∂             ∂             &#8706;         &#x2202;        &part;          partialdiff     partial differential, U+2202 ISOtech
∃             ∃             ∃             &#8707;         &#x2203;        &exist;         existential
                                                                                          thereexists     there exists, U+2203 ISOtech
∅             ∅             ∅             &#8709;         &#x2205;        &empty;         emptyset        empty set = null set = diameter, U+2205 ISOamso
∇             ∇             ∇             &#8711;         &#x2207;        &nabla;         gradient
                                                                                          nabla           nabla = backward difference, U+2207 ISOtech
∈             ∈             ∈             &#8712;         &#x2208;        &isin;          element         element of, U+2208 ISOtech
∉             ∉             ∉             &#8713;         &#x2209;        &notin;         notelement
                                                                                          notelementof    not an element of, U+2209 ISOtech
∋             ∋             ∋             &#8715;         &#x220B;        &ni;            suchthat        contains as member, U+220B ISOtech [should there be a more memorable name than 'ni'?]
∏             ∏             ∏             &#8719;         &#x220F;        &prod;          product         n-ary product = product sign, U+220F ISOamsb [prod is NOT the same character as U+03A0 'greek capital letter pi' though the same glyph might be used for both]
∑             ∑             ∑             &#8721;         &#x2211;        &sum;           summation       n-ary sumation, U+2211 ISOamsb [sum is NOT the same character as U+03A3 'greek capital letter sigma' though the same glyph might be used for both]
−             −             −             &#8722;         &#x2212;        &minus;         minus           minus sign, U+2212 ISOtech
∗             ∗             ∗             &#8727;         &#x2217;        &lowast;        asteriskmath    asterisk operator, U+2217 ISOtech
